Canton-Id;Canton;Type d'impot;Nom;Autorite fiscale;Revenu net / Fortune nette CHF;Deduction CHF
10;FR;Impôt sur la fortune;Déductions pour les personnes mariées ou les familles monoparentales;Canton;0;105 000
10;FR;Impôt sur la fortune;Déductions pour les personnes mariées ou les familles monoparentales;Canton;125 001;85 000
10;FR;Impôt sur la fortune;Déductions pour les personnes mariées ou les familles monoparentales;Canton;160 001;65 000
10;FR;Impôt sur la fortune;Déductions pour les personnes mariées ou les familles monoparentales;Canton;195 001;45 000
10;FR;Impôt sur la fortune;Déductions pour les personnes mariées ou les familles monoparentales;Canton;230 001;25 000
10;FR;Impôt sur la fortune;Déductions pour les personnes mariées ou les familles monoparentales;Canton;265 001;5 000
10;FR;Impôt sur la fortune;Déductions pour les personnes mariées ou les familles monoparentales;Canton;300 001;0
10;FR;Impôt sur la fortune;Déduction pour les personnes seules sans enfants;Canton;0;55 000
10;FR;Impôt sur la fortune;Déduction pour les personnes seules sans enfants;Canton;75 001;45 000
10;FR;Impôt sur la fortune;Déduction pour les personnes seules sans enfants;Canton;100 001;35 000
10;FR;Impôt sur la fortune;Déduction pour les personnes seules sans enfants;Canton;125 001;25 000
10;FR;Impôt sur la fortune;Déduction pour les personnes seules sans enfants;Canton;150 001;15 000
10;FR;Impôt sur la fortune;Déduction pour les personnes seules sans enfants;Canton;175 001;5 000
10;FR;Impôt sur la fortune;Déduction pour les personnes seules sans enfants;Canton;200 001;0
10;FR;Impôt sur le revenu;Déduction pour revenus modestes, célibataires sans enfants;Canton;0;4 100
10;FR;Impôt sur le revenu;Déduction pour revenus modestes, célibataires sans enfants;Canton;20 301;3 900
10;FR;Impôt sur le revenu;Déduction pour revenus modestes, célibataires sans enfants;Canton;21 301;3 700
10;FR;Impôt sur le revenu;Déduction pour revenus modestes, célibataires sans enfants;Canton;22 301;3 500
10;FR;Impôt sur le revenu;Déduction pour revenus modestes, célibataires sans enfants;Canton;23 301;3 300
10;FR;Impôt sur le revenu;Déduction pour revenus modestes, célibataires sans enfants;Canton;24 301;3 100
10;FR;Impôt sur le revenu;Déduction pour revenus modestes, célibataires sans enfants;Canton;25 301;2 900
10;FR;Impôt sur le revenu;Déduction pour revenus modestes, célibataires sans enfants;Canton;26 301;2 700
10;FR;Impôt sur le revenu;Déduction pour revenus modestes, célibataires sans enfants;Canton;27 301;2 500
10;FR;Impôt sur le revenu;Déduction pour revenus modestes, célibataires sans enfants;Canton;28 301;2 300
10;FR;Impôt sur le revenu;Déduction pour revenus modestes, célibataires sans enfants;Canton;29 301;2 100
10;FR;Impôt sur le revenu;Déduction pour revenus modestes, célibataires sans enfants;Canton;30 301;1 900
10;FR;Impôt sur le revenu;Déduction pour revenus modestes, célibataires sans enfants;Canton;31 301;1 700
10;FR;Impôt sur le revenu;Déduction pour revenus modestes, célibataires sans enfants;Canton;32 301;1 500
10;FR;Impôt sur le revenu;Déduction pour revenus modestes, célibataires sans enfants;Canton;33 301;1 300
10;FR;Impôt sur le revenu;Déduction pour revenus modestes, célibataires sans enfants;Canton;34 301;1 100
10;FR;Impôt sur le revenu;Déduction pour revenus modestes, célibataires sans enfants;Canton;35 301;900
10;FR;Impôt sur le revenu;Déduction pour revenus modestes, célibataires sans enfants;Canton;36 301;700
10;FR;Impôt sur le revenu;Déduction pour revenus modestes, célibataires sans enfants;Canton;37 301;500
10;FR;Impôt sur le revenu;Déduction pour revenus modestes, célibataires sans enfants;Canton;38 301;300
10;FR;Impôt sur le revenu;Déduction pour revenus modestes, célibataires sans enfants;Canton;39 301;100
10;FR;Impôt sur le revenu;Déduction pour revenus modestes, célibataires sans enfants;Canton;40 301;0
10;FR;Impôt sur le revenu;Déduction pour revenus modestes, famille monoparentale ou les personnes mariées;Canton;0;5 100
