Barèmes;;;;;;;
2026;;;;;;;
Montant du diviseur;;0;;;;;
;;;;;;;
;;;;;;;
Canton-Id;Canton;Type d'impôt;Sujet fiscal;Autorité fiscale;Pour les prochains CHF;En plus %;
15;AR;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;8 300;0;
15;AR;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;1 600;0,6;
15;AR;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;1 600;1;
15;AR;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;4 200;1,5;
15;AR;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;11 500;1,8;
15;AR;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;14 600;2,2;
15;AR;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;12 500;2,4;
15;AR;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;19 800;2,6;
15;AR;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;14 600;2,7;
15;AR;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;36 500;2,8;
15;AR;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;135 600;2,9;
15;AR;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;999 999 999;2,6;
15;AR;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;16 700;0;
15;AR;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;2 100;0,5;
15;AR;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;3 100;0,9;
15;AR;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;5 200;1,4;
15;AR;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;9 400;1,7;
15;AR;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;15 600;1,9;
15;AR;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;15 600;2,2;
15;AR;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;20 900;2,5;
15;AR;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;26 100;2,7;
15;AR;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;62 600;2,8;
15;AR;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;239 900;2,9;
15;AR;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;999 999 999;2,6;
;;;;;;;
Barèmes;;;;;;;
2025;;;;;;;
Montant du diviseur;;2;;;;;
;;;;;;;
;;;;;;;
Canton-Id;Canton;Type d'impôt;Sujet fiscal;Autorité fiscale;Pour les prochains CHF;En plus %;
16;AI;Impôt sur le revenu;Tous;Canton;3 000;0;
16;AI;Impôt sur le revenu;Tous;Canton;3 000;1;
